,"InspectionList_9) Using a flashlight, check for oil at the oil ill plug. When full, the oil should be just below the top oil fill plug."
1985,0
1962,0
898,0
1415,0
1974,0
53,0
1460,0
633,0
1483,0
1725,0
810,0
1340,0
468,0
1318,0
1034,0
289,0
874,0
1453,0
1122,0
1098,0
136,0
521,0
1424,0
436,0
10,0
279,0
969,0
1154,0
253,0
1442,0
1753,0
1789,0
608,0
754,0
1507,0
517,0
1100,0
1949,0
1999,0
1168,0
774,0
986,0
16,0
727,0
1456,0
343,0
1866,0
1634,0
1164,0
1670,0
107,0
1983,0
1647,0
417,0
1816,0
619,0
1464,0
354,0
1282,0
957,0
1283,0
1784,0
1281,0
1038,0
280,0
1389,0
1398,0
705,0
1134,0
574,0
1656,0
1186,0
1114,0
129,0
88,0
1554,0
689,0
665,0
1802,0
654,0
1593,0
1785,0
1109,0
309,0
212,0
1257,0
1955,0
1668,0
372,0
1055,0
531,0
25,0
1374,0
306,0
1782,0
745,0
471,0
134,0
970,0
377,0
1767,0
1111,0
1267,0
1323,0
465,0
1850,0
1640,0
575,0
554,0
3,0
1166,0
701,0
1261,0
1602,0
1799,0
815,0
45,0
213,0
1026,0
933,0
550,0
1780,0
893,0
396,0
1203,0
102,0
1253,0
345,0
1484,0
1930,0
1608,0
861,0
1319,0
1326,0
753,0
1712,0
1210,0
1158,0
55,0
1907,0
711,0
1241,0
682,0
979,0
557,0
478,0
30,0
334,0
1630,0
82,0
1239,0
1299,0
1337,0
462,0
659,0
1307,0
211,0
1467,0
1996,0
1287,0
1259,0
657,0
1285,0
440,0
549,0
1330,0
1916,0
1174,0
1405,0
74,0
336,0
847,0
855,0
481,0
1889,0
18,0
1723,0
526,0
887,0
528,0
32,0
1796,0
177,0
178,0
584,0
943,0
987,0
1345,0
1488,0
1555,0
941,0
46,0
559,0
346,0
269,0
611,0
1625,0
1586,0
1588,0
621,0
939,0
105,0
1972,0
1849,0
625,0
1868,0
1414,0
1717,0
246,0
1715,0
150,0
1690,0
1209,0
1027,0
1822,0
1711,0
546,0
849,0
1382,0
863,0
1525,0
1276,0
886,0
763,0
196,0
1472,0
1336,0
997,0
744,0
407,0
1535,0
825,0
379,0
460,0
1025,0
174,0
1377,0
84,0
469,0
1706,0
567,0
1932,0
1232,0
938,0
179,0
1833,0
1603,0
568,0
734,0
197,0
1692,0
620,0
172,0
1920,0
1938,0
1341,0
1745,0
1911,0
1308,0
1776,0
1905,0
1552,0
1479,1
1316,0
1356,0
991,0
244,0
565,0
1247,0
368,0
663,0
560,0
698,0
1028,0
1964,0
293,0
1918,0
786,0
1292,0
1328,0
946,0
327,0
1105,0
1685,0
1062,0
1160,0
1310,0
1821,0
1951,0
721,0
1070,0
384,0
1182,0
773,0
615,0
1573,0
1815,0
653,0
1628,0
1207,0
1901,0
493,0
692,0
944,0
1846,0
1557,0
1960,0
210,0
164,0
1509,0
1459,0
1480,0
451,0
1108,0
561,0
1360,0
1407,0
1260,0
1042,0
1729,0
856,0
1404,0
1769,0
1050,0
448,0
2008,0
510,0
1030,0
814,0
1778,0
1206,0
1156,0
371,0
888,0
1015,0
1043,0
1498,0
723,0
1705,0
1589,0
600,0
1288,0
677,0
664,0
1432,0
1273,0
1262,0
311,0
332,0
963,0
1645,0
1680,0
931,0
1842,0
572,0
1899,0
1986,0
1783,0
540,0
152,0
429,0
1388,0
12,0
1491,0
1384,0
1870,0
1426,0
1844,0
1099,0
1942,0
1349,0
1222,0
904,0
1494,0
1022,0
1401,0
439,0
787,0
1826,0
1219,0
1235,0
1991,0
490,0
337,0
1800,0
1007,0
5,0
127,0
826,0
1830,0
794,0
788,0
1971,0
314,0
1486,0
857,0
300,0
1178,0
1575,0
1502,0
1860,0
1533,0
1945,0
233,0
514,0
1735,0
1396,0
250,0
1931,0
1529,0
583,0
1536,0
91,0
1903,0
41,0
617,0
1621,0
1666,0
926,0
924,0
820,0
761,0
455,0
1521,0
1751,0
935,0
15,0
1957,0
1619,0
1059,0
459,0
785,0
333,0
1228,0
383,0
1828,0
729,0
1676,0
1871,0
1126,0
1838,0
43,0
1701,0
1092,0
1067,0
1699,0
236,0
998,0
1831,0
447,0
434,0
80,0
165,0
1605,0
1722,0
1677,0
1948,0
687,0
303,0
700,0
1537,0
1654,0
594,0
193,0
751,0
1005,0
1072,0
1021,0
1629,0
1248,0
1612,0
1138,0
759,0
475,0
1548,0
747,0
1687,0
374,0
673,0
713,0
911,0
1624,0
487,0
68,0
1592,0
999,0
1791,0
715,0
97,0
922,0
482,0
573,0
365,0
442,0
1534,0
1817,0
960,0
1659,0
1966,0
1590,0
1227,0
649,0
865,0
1824,0
749,0
1545,0
1162,0
707,0
784,0
1979,0
1141,0
135,0
425,0
1893,0
1541,0
1662,0
527,0
1562,0
340,0
1233,0
806,0
116,0
771,0
1208,0
1810,0
404,0
932,0
1278,0
273,0
119,0
1201,0
1362,0
161,0
877,0
1275,0
542,0
737,0
424,0
996,0
1642,0
101,0
1617,0
1284,0
974,0
936,0
1695,0
1809,0
595,0
837,0
1342,0
291,0
873,0
1215,0
106,0
432,0
743,0
1505,0
1839,0
1683,0
1014,0
1908,0
1394,0
1961,0
1980,0
1433,0
908,0
702,0
1065,0
464,0
1327,0
399,0
1020,0
1579,0
640,0
1024,0
103,0
1714,0
1077,0
1856,0
1566,0
992,0
1412,0
1473,0
508,0
1163,0
251,0
553,0
23,0
231,0
840,0
1110,0
120,0
1103,0
635,0
1280,0
1678,0
430,0
1367,0
695,0
1737,0
433,0
757,0
1967,0
